Month,Sum of Daily Return,Ticker
February,-0.0170214840537197,SHRIRAMFIN
February,-0.10059977532614585,SUNPHARMA
February,-0.059704942524376074,TATACONSUM
February,-0.10383125593618549,TATAMOTORS
February,-0.10201444558408673,TATASTEEL
February,-0.05800616959782194,TCS
February,0.03331120653091426,TECHM
February,-0.03578168108269129,TITAN
February,-0.21038670101827167,TRENT
February,-0.019774378879800852,ULTRACEMCO
February,-0.09300991219376431,WIPRO
March,0.026242829951775574,ADANIENT
March,-0.03449312490336842,ADANIPORTS
March,-0.05718103680257611,APOLLOHOSP
March,-0.013247644570994203,ASIANPAINT
March,0.044092724012381186,AXISBANK
March,-0.11464551036020378,BAJAJ-AUTO
March,-0.017831817414548975,BAJAJFINSV
March,-0.09604021086825314,BAJFINANCE
March,-0.01898253903567121,BEL
March,-0.0735681148022558,BHARTIARTL
March,0.04143078402891583,BPCL
March,0.008020485241745305,BRITANNIA
March,-0.016479644473976995,CIPLA
March,0.01455610838695618,COALINDIA
March,-0.00768449585299252,DRREDDY
March,-0.023828195222293028,EICHERMOT
March,-0.014819671028584468,GRASIM
March,0.05623961340542656,HCLTECH
March,-0.02664274510902234,HDFCBANK
March,-0.07193997464222918,HDFCLIFE
March,-0.034772057435253446,HEROMOTOCO
March,-0.088400430900721,HINDALCO
March,0.05374385838987476,HINDUNILVR
March,-0.011383012180688934,ICICIBANK
March,-0.008410488170614627,INDUSINDBK
March,0.1030539915801344,INFY
March,-0.039336728502623645,ITC
March,-0.03843401527885892,JSWSTEEL
March,-0.03508021940734874,KOTAKBANK
March,-0.05303808669827212,LT
March,0.033001906288054085,M&M
March,-0.07678845568941307,MARUTI
March,0.007902985175602204,NESTLEIND
March,0.007824989947890815,NTPC
March,0.0061847504637734,ONGC
March,0.031931085629134576,POWERGRID
March,0.006602043741652547,RELIANCE
March,0.03606915351566861,SBILIFE
March,0.015637499248481075,SBIN
March,0.010884847962704731,SHRIRAMFIN
March,-0.042576904014286404,SUNPHARMA
March,0.10314744591302737,TATACONSUM
March,-0.011571653385662215,TATAMOTORS
March,-0.0772994043610058,TATASTEEL
March,0.04633357985550282,TCS
March,0.0224446620758528,TECHM
March,0.008881636215601146,TITAN
March,0.005892650698920379,TRENT
March,0.019142145019300193,ULTRACEMCO
March,0.07010606473664552,WIPRO
April,0.06902606421523941,ADANIENT
April,0.028567297979234674,ADANIPORTS
April,0.08397471694892518,APOLLOHOSP
April,-0.03439915378432294,ASIANPAINT
April,-0.08460366079893109,AXISBANK
April,-0.005257167737048846,BAJAJ-AUTO
April,0.02076370157677763,BAJAJFINSV
April,0.05719741037115849,BAJFINANCE
April,-0.1041978335642687,BEL
April,-0.06642821089636766,BHARTIARTL
April,-0.05151226798391319,BPCL
April,0.028649439102106686,BRITANNIA
April,0.055609382232703626,CIPLA
April,-0.02453718571665307,COALINDIA
April,-0.004111983225594085,DRREDDY
April,-0.15105420933248406,EICHERMOT
April,-0.058976190021956955,GRASIM
April,0.1377070381315841,HCLTECH
April,-0.039726952424769334,HDFCBANK
April,0.0976974990544823,HDFCLIFE
April,0.027723633828281927,HEROMOTOCO
April,-0.11847957889598094,HINDALCO
April,0.026957045227304816,HINDUNILVR
April,-0.033303294139273694,ICICIBANK
April,0.02656751284640983,INDUSINDBK
April,0.05701319766264985,INFY
April,-0.02728628228756112,ITC
April,-0.01829520156420886,JSWSTEEL
April,0.1368760813208389,KOTAKBANK
April,0.0656937228025081,LT
April,-0.12825222719963172,M&M
April,-0.01631543333012702,MARUTI
April,0.031113823026409543,NESTLEIND
April,-0.07328202662280225,NTPC
April,-0.043876508844784126,ONGC
April,-0.11071531397226113,POWERGRID
April,0.013013349530446784,RELIANCE
April,0.021073947220809935,SBILIFE
April,-0.0876105532492134,SBIN
April,-0.05722349438890629,SHRIRAMFIN
April,0.07230566518910272,SUNPHARMA
April,-0.0003588474366147537,TATACONSUM
April,-0.03413763721766387,TATAMOTORS
April,-0.024224016621872457,TATASTEEL
April,0.014809045996207934,TCS
April,-0.013665711047462236,TECHM
April,0.048284517535955175,TITAN
April,-0.17499058770586906,TRENT
April,-0.0016483817256820867,ULTRACEMCO
April,0.05989789953041607,WIPRO
May,-0.1701779583820755,ADANIENT
May,-0.15896002924512542,ADANIPORTS
May,0.019471632213771062,APOLLOHOSP
May,0.04041084400030692,ASIANPAINT
May,-0.059755259056261584,AXISBANK
May,-0.022249511512134543,BAJAJ-AUTO
May,0.026688066051183325,BAJAJFINSV
May,-0.0028891221590073637,BAJFINANCE
May,-0.2965594189170746,BEL
May,-0.06312594042923822,BHARTIARTL
May,-0.042124249312909985,BPCL
May,-0.07871838035585232,BRITANNIA
May,-0.017665379956157762,CIPLA
May,-0.11478723754395603,COALINDIA
May,0.08542578860416092,DRREDDY
May,-0.013374195055005263,EICHERMOT
May,0.030588472059066653,GRASIM
May,0.03542691052720129,HCLTECH
May,-0.023948344229612162,HDFCBANK
May,0.048839686166700744,HDFCLIFE
May,-0.12054198952654697,HEROMOTOCO
May,-0.07790876426421879,HINDALCO
May,-0.054009793158975854,HINDUNILVR
